DebtPrice_Id,Trading_Date,Exchange_Code,Segment_Code,Local_Code,ISIN,Issuer_Name,Security_Name,Bond_Type,Issue_Date,Maturity_Date,No_Of_Trades,Traded_Qty,Traded_Value,Open,High,Low,Close,Weighted_Avg_Price,WYTM,TT_Status,Trade_Type,Issue_Type,FaceValuePrice,Settlement_Type,Residual_Maturity_Date,Residual_Maturity_Derived_From,Clean_Dirty_Indicator,Dirty_Price
2315660,21/11/2023,INBSE,BSERFQ,958177,INE01E708024,Andhra Pradesh Capital Region Development Authority.,10.32% BD REDEEM 16/08/2025 INR 200000,BD,16/08/2018,16/08/2025,1,0,0.0002,0,0,0,100.2343,100.2343,10.5,Y,,Government Agency,200000,     ,16/08/2025,Maturity Date                 ,C,0
2315661,21/11/2023,INBSE,BSERFQ,938726,INE01HV07437,Vivriti Capital Ltd.,10.03% DB REDEEM 06/09/2025 INR 1000,DB,06/09/2023,06/09/2025,9,0,0.0264,0,0,0,99.2441,99.2441,11,Y,,Corporate,1000,     ,06/09/2025,Maturity Date                 ,C,0
2315662,21/11/2023,INBSE,BSERFQ,975092,INE01YL07177,Earlysalary Services Pvt. Ltd.,11.75% DB REDEEM 18/03/2025 INR 100000,DB,18/09/2023,18/03/2025,3,0,0.001,0,0,0,100,100,12.2571,Y,,Corporate,100000,     ,18/03/2025,Maturity Date                 ,C,0
2315663,21/11/2023,INBSE,BSERFQ,975162,INE07HK07619,KrazyBee Services Pvt. Ltd.,9.80% DB REDEEM 21/10/2024 INR 100000,DB,20/10/2023,21/10/2024,1,0,0.001,0,0,0,98.9916,98.9916,11.5,Y,,Corporate,100000,     ,21/10/2024,Maturity Date                 ,C,0
2315664,21/11/2023,INBSE,BSERFQ,974988,INE08XP07159,Akara Capital Advisors Pvt. Ltd.,10.01% DB REDEEM 21/01/2025 INR 100000,DB,21/07/2023,21/01/2025,1,0,0.0001,0,0,0,81.901,81.901,13.5,Y,,Corporate,83333.33,     ,21/01/2025,Maturity Date                 ,C,0
2315665,21/11/2023,INBSE,BSERFQ,975165,INE090W07626,Lendingkart Finance Ltd,11.71% DB REDEEM 01/07/2025 INR 100000,DB,25/10/2023,01/07/2025,1,0,0.0363,0,0,0,100.0009,100.0009,11.6891,Y,,Corporate,100000,     ,01/07/2025,Maturity Date                 ,C,0
2315666,21/11/2023,INBSE,BSERFQ,975160,INE0BUS07AJ6,Indel Money Ltd.,8.17% DB REDEEM 19/01/2025 INR 100000,DB,19/10/2023,19/01/2025,1,0,0.001,0,0,0,96.3396,96.3396,11.8,Y,,Corporate,100000,     ,19/01/2025,Maturity Date                 ,C,0
2315667,21/11/2023,INBSE,BSERFQ,960335,INE0FWE15015,Liquid Gold Series 3 Dec 2020,8% CTF REDEEM 20/12/2023 INR 100000,CTF,17/12/2020,20/12/2023,1,0,0.02,0,0,0,13.5191,13.5191,8,Y,,Corporate,65075.47,     ,20/12/2023,Maturity Date                 ,C,0
2315668,21/11/2023,INBSE,BSERFQ,973993,INE0M2307081,Andhra Pradesh State Beverages Corp. Ltd.,9.62% DB REDEEM 31/05/2030 INR 1000000,DB,14/06/2022,31/05/2030,3,0,0.003,0,0,0,104.2198,104.2198,9.01,Y,,Corporate,1000000,     ,31/05/2030,Maturity Date                 ,C,0
2315669,21/11/2023,INBSE,BSERFQ,975197,INE101Q07AN4,Muthoottu MINI Financiers.Ltd.,10% DB REDEEM 10/11/2025 INR 100000,DB,10/11/2023,10/11/2025,2,0,0.0007,0,0,0,99.8,99.7822,10.589,Y,,Corporate,100000,     ,10/11/2025,Maturity Date                 ,C,0
2315670,21/11/2023,INBSE,BSERFQ,,INE157D07ED7,Clix Capital Services Pvt. Ltd.,9.30% DB REDEEM 31/10/2024 INR 100000,DB,30/10/2023,31/10/2024,1,0,0.2,0,0,0,100.1277,100.1277,9.1226,Y,,Corporate,100000,     ,31/10/2024,Maturity Date                 ,C,0
2315671,21/11/2023,INBSE,BSERFQ,,INE217A07084,Zuari Industries Ltd.,11% DB REDEEM 28/09/2026 INR 1000000,DB,29/09/2023,28/09/2026,1,0,0.03,0,0,0,100,100,11.31,Y,,Corporate,1000000,     ,29/03/2025,Call/Put Date                 ,C,0
2315672,21/11/2023,INBSE,BSERFQ,974876,INE342T07361,Navi Finserv Ltd.,FR DB REDEEM 29/11/2024 INR 100000,DB,29/05/2023,29/11/2024,1,0,0.002,0,0,0,98.7411,98.7411,10.5,Y,,Corporate,100000,     ,29/11/2024,Maturity Date                 ,C,0
2315673,21/11/2023,INBSE,BSERFQ,974720,INE348L08090,MAS Financial Services Ltd.,10.75% DB REDEEM 27/10/2028 INR 100000,DB,27/03/2023,27/10/2028,1,0,0.0009,0,0,0,100,100,11.2876,Y,,Corporate,100000,     ,27/10/2028,Maturity Date                 ,C,0
2315674,21/11/2023,INBSE,BSERFQ,975075,INE501X07497,Aye Finance Pvt. Ltd.,9% DB REDEEM 14/03/2025 INR 100000,DB,14/09/2023,14/03/2025,1,0,0.003,0,0,0,99.987,99.987,9,Y,,Corporate,100000,     ,14/03/2025,Maturity Date                 ,C,0
2315675,21/11/2023,INBSE,BSERFQ,973491,INE516Y07444,Piramal Capital & Housing Finance Ltd.,6.75% DB REDEEM 26/09/2031 INR 1000,DB,28/09/2021,26/09/2031,1,0,0.0466,0,0,0,85.6044,85.6044,10.99,Y,,Corporate,900,     ,26/09/2031,Maturity Date                 ,C,0
2315676,21/11/2023,INBSE,BSERFQ,975017,INE519Q08186,Fincare Small Finance Bank Ltd.,10.75% BD REDEEM 09/02/2029 INR 100000,BD,09/08/2023,09/02/2029,3,0,0.0045,0,0,0,103.2644,103.0121,10.4667,Y,,Corporate,100000,     ,09/02/2029,Maturity Date                 ,C,0
2315677,21/11/2023,INBSE,BSERFQ,957207,INE540P07244,U.P. Power Corp. Ltd.,9.75% BD REDEEM 20/10/2025 INR 1000000,BD,05/12/2017,20/10/2025,1,0,0.001,0,0,0,101.5819,101.5819,8.9,Y,,Government Controlled Company,1000000,     ,20/10/2025,Maturity Date                 ,C,0
2315678,21/11/2023,INBSE,BSERFQ,,INE557F08FP2,National Housing Bank,7.77% BD REDEEM 02/04/2026 INR 100000,BD,23/03/2023,02/04/2026,1,0,1,0,0,0,99.987,99.987,0,Y,,Corporate,100000,     ,11/03/2024,Call/Put Date                 ,C,0
2315679,21/11/2023,INBSE,BSERFQ,975059,INE572J07612,Spandana Sphoorty Financial Ltd.,10.75% DB REDEEM 04/09/2026 INR 100000 - INE572J07612,DB,04/09/2023,04/09/2026,4,0,0.0331,0,0,0,97.3886,97.9578,11.6002,Y,,Corporate,100000,     ,04/09/2026,Maturity Date                 ,C,0
2315680,21/11/2023,INBSE,BSERFQ,975140,INE572J07638,Spandana Sphoorty Financial Ltd.,10.75% DB REDEEM 22/09/2025 INR 100000,DB,06/10/2023,22/09/2025,2,0,0.0006,0,0,0,100,100,11.2865,Y,,Corporate,100000,     ,22/09/2025,Maturity Date                 ,C,0
2315681,21/11/2023,INBSE,BSERFQ,975141,INE572J07646,Spandana Sphoorty Financial Ltd.,10.75% DB REDEEM 24/03/2025 INR 100000,DB,06/10/2023,24/03/2025,1,0,0.0001,0,0,0,100,100,11.2862,Y,,Corporate,100000,     ,24/03/2025,Maturity Date                 ,C,0
